"soilcore.pk","plot","elevation","east","north","vegetation"
2,1,993,2405362,5783100,"Nothofagus solandri"
3,1,1005,2405375,5783095,"Nothofagus solandri"
4,1,994,2405368,5783077,"Nothofagus solandri"
5,1,999,2405373,5783072,"Nothofagus solandri"
6,1,1002,2405353,5783104,"Nothofagus solandri"
7,2,981,2405801,5783040,"Pinus contorta"
8,2,982,2405799,5783044,"Pinus contorta"
9,2,964,2405791,5783029,"Pinus contorta"
10,2,989,2405803,5783011,"Pinus contorta"
11,2,975,2405814,5783012,"Pinus contorta"
12,3,982,2405810,5783112,"Pinus contorta"
13,3,986,2405834,5783118,"Pinus contorta"
14,3,986,2405830,5783135,"Pinus contorta"
15,3,992,2405839,5783140,"Pinus contorta"
16,3,985,2405831,5783116,"Pinus contorta"
17,4,984,2405768,5783131,"Nothofagus solandri"
18,4,978,2405766,5783144,"Nothofagus solandri"
19,4,985,2405782,5783150,"Nothofagus solandri"
20,4,988,2405787,5783135,"Nothofagus solandri"
21,4,990,2405784,5783140,"Nothofagus solandri"
22,5,953,2405596,5783452,"Pinus contorta"
23,5,960,2405626,5783440,"Pinus contorta"
24,5,958,2405617,5783451,"Pinus contorta"
25,5,969,2405645,5783422,"Pinus contorta"
26,5,952,2405596,5783455,"Pinus contorta"
27,6,950,2405615,5783454,"Nothofagus solandri"
28,6,953,2405637,5783443,"Nothofagus solandri"
29,6,953,2405621,5783451,"Nothofagus solandri"
30,6,962,2405660,5783428,"Nothofagus solandri"
31,6,940,2405671,5783432,"Nothofagus solandri"
32,7,940,2405562,5783260,"Pinus contorta"
33,7,929,2405478,5783231,"Pinus contorta"
34,7,940,2405546,5783291,"Pinus contorta"
35,7,930,2405508,5783279,"Pinus contorta"
36,7,938,2405575,5783330,"Pinus contorta"
37,8,928,2405578,5783257,"Nothofagus solandri"
38,8,929,2405545,5783223,"Nothofagus solandri"
39,8,928,2405579,5783251,"Nothofagus solandri"
40,8,929,2405577,5783235,"Nothofagus solandri"
41,8,928,2405584,5783219,"Nothofagus solandri"
42,9,809,2406764,5783365,"Pinus contorta"
43,9,813,2406767,5783346,"Pinus contorta"
44,9,814,2406775,5783339,"Pinus contorta"
45,9,802,2406821,5783305,"Pinus contorta"
46,9,796,2406802,5783290,"Pinus contorta"
47,10,803,2406780,5783400,"Nothofagus solandri"
48,10,814,2406784,5783397,"Nothofagus solandri"
49,10,812,2406770,5783416,"Nothofagus solandri"
50,10,797,2406766,5783416,"Nothofagus solandri"
51,10,818,2406783,5783427,"Nothofagus solandri"
